"Localitate","Judet","Agentie","KM"
"Cociuba Mica","Bihor","Beius",""
"Codrisoru","Bihor","Alesd","28"
"Codru","Bihor","Beius","30"
"Cohani","Bihor","Marghita",""
"Colesti","Bihor","Beius","32"
"Copacel","Bihor","Oradea",""
"Copaceni","Bihor","Beius",""
"Corbesti","Bihor","Beius","38"
"Corboaia","Bihor","Marghita","22"
"Cordau","Bihor","Oradea",""
"Cornisesti","Bihor","Beius","31"
"Cornitel","Bihor","Alesd","20"
"Cosdeni","Bihor","Beius",""
"Cotiglet","Bihor","Beius","35"
"Crancesti","Bihor","Beius","27"
"Crestur","Bihor","Marghita",""
"Cresuia","Bihor","Beius",""
"Cristioru de jos","Bihor","Beius","34"
"Cristioru de sus","Bihor","Beius","38"
"Cubulcut","Bihor","Marghita",""
"Cucuceni","Bihor","Beius",""
"Cuiesd","Bihor","Alesd","25"
"Curatele","Bihor","Beius",""
"Curtuiseni","Bihor","Marghita","34"
"Cusuius","Bihor","Beius",""
"Cuzap","Bihor","Marghita","24"
"Damis","Bihor","Alesd","39"
"Delani","Bihor","Beius",""
"Derna","Bihor","Marghita","30"
"Dernisoara","Bihor","Marghita","24"
"Dicanesti","Bihor","Oradea","26"
"Dijir","Bihor","Marghita",""
"Diosig","Bihor","Oradea",""
"Dobresti","Bihor","Beius","32"
"Dobricionesti","Bihor","Alesd",""
"Dolea","Bihor","Marghita",""
"Draganesti","Bihor","Beius",""
"Dragesti","Bihor","Oradea","28"
"Dragoteni","Bihor","Beius",""
"Dumbrava","Bihor","Salonta","35"
"Dumbravani","Bihor","Beius",""
"Dumbravita","Bihor","Beius","27"
"Dumbravita de Codru","Bihor","Beius","20"
"Dusesti","Bihor","Beius","28"
"Fanate","Bihor","Beius","27"
"Fancica","Bihor","Marghita",""
"Fasca","Bihor","Alesd",""
"Fegernic","Bihor","Marghita","26"
"Fegernicu Nou","Bihor","Marghita","26"
"Felcheriu","Bihor","Oradea",""
"Feneris","Bihor","Beius",""
"Ferice","Bihor","Beius",""
"Finis","Bihor","Beius",""
"Fizis","Bihor","Beius",""
"Foglas","Bihor","Marghita","23"
"Fonau","Bihor","Salonta","35"
"Forau","Bihor","Beius",""
"Forosig","Bihor","Beius","32"
"Fughiu","Bihor","Oradea",""
"Galaseni","Bihor","Alesd",""
"Galospetreu","Bihor","Marghita","25"
"Gepis","Bihor","Oradea","32"
"Gepiu","Bihor","Salonta",""
"Gheghie","Bihor","Alesd",""
"Ghenetea","Bihor","Marghita",""
"Ghida","Bihor","Marghita",""
"Ghighiseni","Bihor","Beius",""
"Ghiorac","Bihor","Salonta",""
"Ginta","Bihor","Salonta","40"
"Girisu de Cris","Bihor","Oradea",""
"Girisu Negru","Bihor","Salonta","28"
"Giulesti","Bihor","Beius","25"
"Goila","Bihor","Beius",""
"Gradinari","Bihor","Beius",""
"Grosi","Bihor","Alesd",""
"Gruilung","Bihor","Oradea","28"
"Gurani","Bihor","Beius",""
"Gurbediu","Bihor","Salonta",""
"Gurbesti (Cabesti)","Bihor","Beius",""
"Gurbesti (Spinus)","Bihor","Marghita","29"
"Haieu","Bihor","Oradea",""
"Harsesti","Bihor","Beius","24"
"Haucesti","Bihor","Marghita","20"
"Hidis","Bihor","Beius","20"
"Hidisel","Bihor","Beius","29"
"Hidiselu de Jos","Bihor","Oradea",""
"Hidiselu de Sus","Bihor","Oradea",""
"HINCHIRIS","Bihor","Beius",""
"Hodis","Bihor","Beius","28"
"Hodisel","Bihor","Salonta","44"
"Hodos","Bihor","Oradea",""
"Holod","Bihor","Beius","27"
"Homorog","Bihor","Salonta",""
"Hotar","Bihor","Alesd",""
"Hotarel","Bihor","Beius","20"
"Husasau de Cris","Bihor","Oradea",""
"Husasau de Tinca","Bihor","Salonta","23"
"Huta","Bihor","Marghita","23"
"Huta Voivozi","Bihor","Alesd","28"
"Ianca","Bihor","Oradea",""
"Ianosda","Bihor","Salonta",""
"Inand","Bihor","Salonta",""
"Incesti","Bihor","Oradea","37"
"Ineu","Bihor","Oradea",""
"Ioanis","Bihor","Beius",""
"Iteu","Bihor","Marghita",""
"Iteu Nou","Bihor","Marghita",""
"Izbuc","Bihor","Beius","31"
"Izvoarele","Bihor","Marghita",""
"Josani (Cabesti)","Bihor","Beius",""
"Josani (Magesti)","Bihor","Alesd",""
"Lacu Sarat","Bihor","Beius","21"
"Lazareni","Bihor","Oradea","26"
"Lazuri","Bihor","Beius",""
"Lazuri de Beius","Bihor","Beius",""
"Leheceni","Bihor","Beius","30"
"Lelesti","Bihor","Beius",""
"Les","Bihor","Oradea",""
"Livada Beiusului","Bihor","Beius",""
"Livada de Bihor","Bihor","Oradea",""
"Loranta","Bihor","Alesd","28"
"Lorau","Bihor","Alesd","30"
"Lugasu de Jos","Bihor","Alesd",""
"Lugasu de Sus","Bihor","Alesd",""
"Lunca","Bihor","Beius",""
"Luncasprie","Bihor","Beius","30"
"Luncsoara","Bihor","Alesd",""
"Lupoaia","Bihor","Beius","29"
"Madaras","Bihor","Salonta",""
"Magesti","Bihor","Alesd",""
"Magura","Bihor","Beius","20"
"Marghita","Bihor","Marghita",""
"Margine","Bihor","Marghita",""
"Martihaz","Bihor","Salonta","28"
"Meziad","Bihor","Beius",""
"Mierag","Bihor","Beius",""
"Mierlau","Bihor","Oradea","24"
"Miersig","Bihor","Oradea",""
"Mihai Bravu","Bihor","Oradea",""
"Miheleu","Bihor","Oradea","33"
"Misca","Bihor","Marghita",""
"Mizies","Bihor","Beius",""
"Motesti","Bihor","Beius",""
"Munteni","Bihor","Alesd","42"
"Nadar","Bihor","Marghita","24"
"Nimaiesti","Bihor","Beius",""
"Niuved","Bihor","Oradea","28"
"Nojorid","Bihor","Oradea",""
"Nucet","Bihor","Beius","29"
"Ogesti","Bihor","Beius","25"
"Olcea","Bihor","Salonta","35"
"Olosig","Bihor","Marghita",""
"Oradea","Bihor","Oradea",""
"Ortiteag","Bihor","Alesd",""
"Orvisele","Bihor","Alesd","23"
"Osand","Bihor","Salonta","34"
"Osorhei","Bihor","Oradea",""
"Otomani","Bihor","Marghita",""
"Pacalesti","Bihor","Beius",""
"Padurea Neagra","Bihor","Alesd",""
"Padureni","Bihor","Marghita",""
"Pagaia","Bihor","Marghita",""
"Paleu","Bihor","Oradea",""
"Palota","Bihor","Oradea",""
"Pantasesti","Bihor","Beius",""
"Parhida","Bihor","Oradea","29"
"Paulesti","Bihor","Alesd","29"
"Pausa","Bihor","Oradea",""
"Pestere","Bihor","Alesd",""
"Pestis","Bihor","Alesd",""
"Petid","Bihor","Salonta","39"
"Petrani","Bihor","Beius",""
"Petreasa","Bihor","Beius",""
"Petreu","Bihor","Marghita",""
"Petrileni","Bihor","Beius",""
"Picleu","Bihor","Alesd","24"
"Pietroasa","Bihor","Beius","20"
"Pocioveliste","Bihor","Beius",""
"Poclusa de Barcau","Bihor","Marghita",""
"Poclusa de Beius","Bihor","Beius","29"
"Pocola","Bihor","Beius",""
"Poiana (Cristioru de Jos)","Bihor","Beius","37"
"Poiana (Tauteu)","Bihor","Marghita",""
"Poiana Tasad","Bihor","Oradea","31"
"Poienii de jos","Bihor","Beius",""
"Poienii de sus","Bihor","Beius",""
"Poietari","Bihor","Beius",""
"Pomezeu","Bihor","Beius","24"
"Ponoara","Bihor","Alesd","37"
"Popesti","Bihor","Marghita","18"
"Posoloaca","Bihor","Alesd",""
"Prisaca","Bihor","Beius",""
"Rabagani","Bihor","Beius",""
"Racas","Bihor","Beius","32"
"Rapa","Bihor","Salonta","31"
"Reghea","Bihor","Marghita",""
"Remetea","Bihor","Beius",""
"Remeti","Bihor","Alesd","47"
"Rieni","Bihor","Beius",""
"Rogoz","Bihor","Beius","27"
"Rohani","Bihor","Salonta","44"
"Roit","Bihor","Oradea","28"
"Rontau","Bihor","Oradea",""
"Rosia","Bihor","Beius","20"
"Rosiori","Bihor","Oradea",""
"Rotaresti","Bihor","Beius","24"
"Rugea","Bihor","Marghita","29"
"Sabolciu","Bihor","Alesd",""
"Saca","Bihor","Beius",""
"Sacadat","Bihor","Alesd",""
"Sacalasau","Bihor","Marghita","31"
"Sacalasau Nou","Bihor","Marghita","32"
"Sacueni","Bihor","Marghita",""
"Salacea","Bihor","Marghita","20"
"Salard","Bihor","Oradea",""
"Saldabagiu de Barcau","Bihor","Marghita",""
"Saldabagiu de munte","Bihor","Oradea",""
"Saldabagiu Mic","Bihor","Salonta","47"
"Saliste","Bihor","Marghita","30"
"Saliste de Beius","Bihor","Beius",""
"Saliste de Pomezeu","Bihor","Beius",""
"Saliste de Vascau","Bihor","Beius","33"
"Salonta","Bihor","Salonta",""
"Sambata","Bihor","Beius","24"
"Saniob","Bihor","Marghita","28"
"Sanlazar","Bihor","Marghita",""
"Sanmartin","Bihor","Oradea",""
"Sanmartin de Beius","Bihor","Beius",""
"Sannicolau de beius","Bihor","Beius","23"
"Sannicolau de Munte","Bihor","Marghita","25"
"Sannicolau roman","Bihor","Salonta","24"
"Santandrei","Bihor","Oradea",""
"Santaul Mare","Bihor","Oradea",""
"Santaul Mic","Bihor","Oradea",""
"Santelec","Bihor","Oradea","20"
"SANTIMREU","Bihor","Oradea","30"
"Santion","Bihor","Oradea",""
"Sarand","Bihor","Oradea",""
"Sarbesti","Bihor","Beius","24"
"Sarbi","Bihor","Marghita","29"
"Sarcau","Bihor","Marghita","26"
"Sarsig","Bihor","Marghita","20"
"Satu Barba","Bihor","Marghita",""
"Satu nou","Bihor","Oradea",""
"Sauaieu","Bihor","Oradea","21"
"Saucani","Bihor","Beius",""
"Saud","Bihor","Beius",""
"Sebis","Bihor","Beius",""
"Seghiste","Bihor","Beius","23"
"Serani","Bihor","Alesd","27"
"Serghis","Bihor","Alesd","30"
"Sfarnas","Bihor","Marghita","29"
"Sighistel","Bihor","Beius","27"
"Silindru","Bihor","Marghita","33"
"Simian","Bihor","Marghita","34"
"Sinteu","Bihor","Alesd","20"
"Sisterea","Bihor","Oradea",""
"Sitani","Bihor","Beius","25"
"Sititelec","Bihor","Salonta","32"
"Socet","Bihor","Alesd","27"
"Sohodol","Bihor","Beius","20"
"Soimi","Bihor","Beius","22"
"Soimus","Bihor","Beius",""
"Spinus","Bihor","Marghita","25"
"Spinus de Pomezeu","Bihor","Beius","20"
"Stancesti","Bihor","Beius",""
"Stei","Bihor","Beius",""
"Stracos","Bihor","Oradea","31"
"Subpiatra","Bihor","Alesd",""
"Sudrigiu","Bihor","Beius",""
"Suiug","Bihor","Marghita",""
"Sumugiu","Bihor","Oradea","29"
"Suncuis","Bihor","Beius",""
"Suncuius","Bihor","Alesd",""
"Suplacu de barcau","Bihor","Marghita",""
"Suplacu de Tinca","Bihor","Beius","25"
"Surduc","Bihor","Oradea","28"
"Surducel","Bihor","Alesd","28"
"Sustiu","Bihor","Beius","24"
"Susturogi","Bihor","Oradea","30"
"Talpe","Bihor","Beius",""
"Talpos","Bihor","Salonta","20"
"Tamasda","Bihor","Salonta","24"
"Tamaseu","Bihor","Oradea",""
"Tarcaia","Bihor","Beius",""
"Tarcaita","Bihor","Beius",""
"Tarcea","Bihor","Marghita",""
"Targusor","Bihor","Marghita","15"
"Tarian","Bihor","Oradea",""
"Tasad","Bihor","Oradea","27"
"Taut","Bihor","Salonta","20"
"Tautelec","Bihor","Oradea",""
"Tauteu","Bihor","Marghita",""
"Teleac","Bihor","Beius",""
"Telechiu","Bihor","Alesd",""
"Tetchea","Bihor","Alesd",""
"Tiganestii de Beius","Bihor","Beius",""
"Tiganestii de Cris","Bihor","Alesd","23"
"Tileagd","Bihor","Alesd",""
"Tilecus","Bihor","Alesd","23"
"Tinaud","Bihor","Alesd",""
"Tinca","Bihor","Salonta",""
"Toboliu","Bihor","Oradea",""
"TOMNATIC","Bihor","Alesd","30"
"Topa de Cris","Bihor","Alesd",""
"Topa de Jos","Bihor","Beius","32"
"Topa de Sus","Bihor","Beius","34"
"Topesti","Bihor","Oradea","31"
"Totoreni","Bihor","Beius",""
"Tria","Bihor","Marghita","22"
"Tulca","Bihor","Salonta",""
"Ucuris","Bihor","Salonta","40"
"Uileacu de beius","Bihor","Beius",""
"Uileacu de Cris","Bihor","Alesd",""
"Uileacu de Munte","Bihor","Oradea",""
"URSAD","Bihor","Beius","26"
"Urvind","Bihor","Alesd",""
"Urvis de beius","Bihor","Beius","20"
"Vadu Crisului","Bihor","Alesd",""
"Vaida","Bihor","Oradea","33"
"Valani de Pomezeu","Bihor","Beius",""
"Valanii de Beius","Bihor","Beius",""
"Valcelele","Bihor","Marghita","24"
"Valea Cerului","Bihor","Marghita","23"
"Valea Crisului","Bihor","Alesd","31"
"Valea de Jos","Bihor","Beius",""
"Valea de Sus","Bihor","Beius","22"
"Valea Iadului","Bihor","Alesd","34"
"Valea lui Mihai","Bihor","Marghita",""
"Valea Mare de Codru","Bihor","Oradea","34"
"Valea Mare de Cris","Bihor","Alesd","20"
"Valea Tarnei","Bihor","Alesd","25"
"Varasau","Bihor","Alesd","27"
"Varaseni","Bihor","Beius",""
"Varciorog","Bihor","Alesd","24"
"Varviz","Bihor","Marghita","21"
"Varzari","Bihor","Marghita","25"
"Varzarii de Jos","Bihor","Beius","27"
"Varzarii de Sus","Bihor","Beius","29"
"Vasad","Bihor","Marghita","38"
"Vascau","Bihor","Beius","26"
"Viisoara","Bihor","Marghita",""
"Vintere","Bihor","Beius","22"
"Voivozi (Popesti)","Bihor","Marghita","22"
"Voivozi (simian)","Bihor","Marghita","38"
"Zavoiu","Bihor","Beius","27"
"Zece Hotare","Bihor","Alesd","33"
"Agries","Bistrita-Nasaud","Dej","45"
"Agriesel","Bistrita-Nasaud","Dej","49"
"Agrisu de Jos","Bistrita-Nasaud","Bistrita","30"
"Agrisu de Sus","Bistrita-Nasaud","Bistrita","31"
"Albestii Bistritei","Bistrita-Nasaud","Bistrita","25"
"Alunisul","Bistrita-Nasaud","Bistrita","45"
"Anies","Bistrita-Nasaud","Bistrita","59"
"Apatiu","Bistrita-Nasaud","Dej","49"
"Arcalia","Bistrita-Nasaud","Bistrita",""
"Archiud","Bistrita-Nasaud","Bistrita","41"
"Ardan","Bistrita-Nasaud","Bistrita","35"
"Arsita","Bistrita-Nasaud","Bistrita","65"
"Barla","Bistrita-Nasaud","Bistrita","25"
"Bata","Bistrita-Nasaud","Dej",""
"Beclean","Bistrita-Nasaud","Dej","25"
"Beudiu","Bistrita-Nasaud","Dej","40"
"Bichigiu","Bistrita-Nasaud","Bistrita","45"
"Bidiu","Bistrita-Nasaud","Bistrita","36"
"Bistrita","Bistrita-Nasaud","Bistrita",""
"BISTRITA BARGAULUI","Bistrita-Nasaud","Bistrita","25"
"Bistrita Bargaului Fabrici","Bistrita-Nasaud","Bistrita",""
"Blajenii de Jos","Bistrita-Nasaud","Bistrita",""
"Blajenii de Sus","Bistrita-Nasaud","Bistrita",""
"Borleasa","Bistrita-Nasaud","Dej","41"
"Bozies","Bistrita-Nasaud","Dej","40"
"Branistea","Bistrita-Nasaud","Dej","20"
"Brateni","Bistrita-Nasaud","Bistrita","40"
"Breaza","Bistrita-Nasaud","Dej","33"
"Bretea","Bistrita-Nasaud","Bistrita","33"
"Budacu de Jos","Bistrita-Nasaud","Bistrita",""
"Budacu de Sus","Bistrita-Nasaud","Bistrita",""
"Budesti","Bistrita-Nasaud","Bistrita","57"
"Budesti-Fanate","Bistrita-Nasaud","Bistrita","52"
"Budurleni","Bistrita-Nasaud","Bistrita","32"
"Budus","Bistrita-Nasaud","Bistrita",""
"Bungard","Bistrita-Nasaud","Bistrita","38"
"Buza Catun","Bistrita-Nasaud","Dej","45"
"Caianu Mare","Bistrita-Nasaud","Dej","28"
"Caianu Mic","Bistrita-Nasaud","Dej","27"
"Caila","Bistrita-Nasaud","Bistrita","21"
"Camp","Bistrita-Nasaud","Bistrita","61"
"Cepari","Bistrita-Nasaud","Bistrita",""
"Cetate","Bistrita-Nasaud","Bistrita",""
"Chetiu","Bistrita-Nasaud","Dej","45"
"Chintelnic","Bistrita-Nasaud","Bistrita","20"
"Chiochis","Bistrita-Nasaud","Dej","45"
"Chirales","Bistrita-Nasaud","Bistrita","23"
"Chiuza","Bistrita-Nasaud","Bistrita","35"
"Ciceu-Corabia","Bistrita-Nasaud","Dej",""
"Ciceu-Giurgesti","Bistrita-Nasaud","Dej","20"
"Ciceu-Mihaiesti","Bistrita-Nasaud","Dej",""
"Ciceu-Poieni","Bistrita-Nasaud","Dej","27"
"Ciosa","Bistrita-Nasaud","Bistrita","50"
"Cireasi","Bistrita-Nasaud","Dej","50"
"Ciresoaia","Bistrita-Nasaud","Dej","22"
"Coasta","Bistrita-Nasaud","Bistrita","26"
"Cociu","Bistrita-Nasaud","Bistrita","29"
"Coldau","Bistrita-Nasaud","Dej","23"
"Colibita","Bistrita-Nasaud","Bistrita","43"
"Comlod","Bistrita-Nasaud","Bistrita","52"
"Cormaia","Bistrita-Nasaud","Bistrita","53"
"Corvinesti","Bistrita-Nasaud","Bistrita","32"
"Cosbuc","Bistrita-Nasaud","Bistrita","35"
"Coseriu","Bistrita-Nasaud","Bistrita","58"
"CRAINIMAT","Bistrita-Nasaud","Bistrita",""
"Cristestii Ciceului","Bistrita-Nasaud","Dej","20"
"Cristur-sieu","Bistrita-Nasaud","Bistrita","24"
"Cusma","Bistrita-Nasaud","Bistrita","22"
"Dealu Stefanitei","Bistrita-Nasaud","Bistrita","60"
"Delureni","Bistrita-Nasaud","Bistrita","61"
"Dipsa","Bistrita-Nasaud","Bistrita","24"
"Dobric","Bistrita-Nasaud","Dej","25"
"Dobricel","Bistrita-Nasaud","Dej","32"
"Domnesti","Bistrita-Nasaud","Bistrita",""
"Dorolea","Bistrita-Nasaud","Bistrita",""
"Draga","Bistrita-Nasaud","Bistrita","61"
"Dumbrava (Livezile)","Bistrita-Nasaud","Bistrita",""
"Dumbrava (Nuseni)","Bistrita-Nasaud","Dej","35"
"Dumbraveni","Bistrita-Nasaud","Dej","26"
"Dumbravita","Bistrita-Nasaud","Dej","32"
"Dumitra","Bistrita-Nasaud","Bistrita",""
"Dumitrita","Bistrita-Nasaud","Bistrita",""
"Dupa Deal","Bistrita-Nasaud","Bistrita","53"
"Enciu","Bistrita-Nasaud","Bistrita","37"
"Fanate","Bistrita-Nasaud","Bistrita","55"
"Fanatele Silivasului","Bistrita-Nasaud","Bistrita","62"
"Fantanele","Bistrita-Nasaud","Bistrita","38"
"Fantanita","Bistrita-Nasaud","Bistrita","53"
"Feldru","Bistrita-Nasaud","Bistrita","36"
"Feleac","Bistrita-Nasaud","Dej","33"
"Fiad","Bistrita-Nasaud","Bistrita","51"
"Figa","Bistrita-Nasaud","Dej","33"
"Floresti","Bistrita-Nasaud","Bistrita","30"
"GALATII BISTRITEI","Bistrita-Nasaud","Bistrita","21"
"Gersa I","Bistrita-Nasaud","Bistrita","28"
"Gersa II","Bistrita-Nasaud","Bistrita","35"
"Ghemes","Bistrita-Nasaud","Bistrita","57"
"Ghinda","Bistrita-Nasaud","Bistrita",""
"Gledin","Bistrita-Nasaud","Bistrita","35"
"Halmasau","Bistrita-Nasaud","Dej","42"
"Hasmasu Ciceului","Bistrita-Nasaud","Dej","23"
"Herina","Bistrita-Nasaud","Bistrita",""
"Hirean","Bistrita-Nasaud","Bistrita","55"
"Ilisua","Bistrita-Nasaud","Dej","21"
"Ilva Mare","Bistrita-Nasaud","Bistrita","67"
"Ilva Mica","Bistrita-Nasaud","Bistrita","42"
"Ivaneasa","Bistrita-Nasaud","Bistrita","71"
"Jeica","Bistrita-Nasaud","Bistrita","27"
"Jelna","Bistrita-Nasaud","Bistrita",""
"Jimbor","Bistrita-Nasaud","Dej","50"
"JOSENII BARGAULUI","Bistrita-Nasaud","Bistrita",""
"La Curte","Bistrita-Nasaud","Bistrita","46"
"Lechinta","Bistrita-Nasaud","Bistrita","24"
"Lelesti","Bistrita-Nasaud","Dej",""
"Lesu","Bistrita-Nasaud","Bistrita","53"
"Livezile","Bistrita-Nasaud","Bistrita",""
"Liviu Rebreanu","Bistrita-Nasaud","Bistrita",""
"Lunca","Bistrita-Nasaud","Bistrita","35"
"Lunca Borlesei","Bistrita-Nasaud","Dej","38"
"Lunca Ilvei","Bistrita-Nasaud","Bistrita","76"
"Lunca Lesului","Bistrita-Nasaud","Bistrita","55"
"Lunca Sateasca","Bistrita-Nasaud","Dej","49"
"Lusca","Bistrita-Nasaud","Bistrita",""
"Magura Ilvei","Bistrita-Nasaud","Bistrita","61"
"Magurele","Bistrita-Nasaud","Bistrita","20"
"Maieru","Bistrita-Nasaud","Bistrita","56"
"Malin","Bistrita-Nasaud","Dej","35"
"Malut","Bistrita-Nasaud","Dej","20"
"Manic","Bistrita-Nasaud","Dej","35"
"Mariselu","Bistrita-Nasaud","Bistrita","21"
"Matei","Bistrita-Nasaud","Bistrita","33"
"Micestii de Campie","Bistrita-Nasaud","Bistrita","48"
"MIJLOCENII BARGAULUI","Bistrita-Nasaud","Bistrita","20"
"Milas","Bistrita-Nasaud","Bistrita","51"
"Mintiu","Bistrita-Nasaud","Bistrita","23"
"Mires","Bistrita-Nasaud","Bistrita","36"
"Mititei","Bistrita-Nasaud","Bistrita","33"
"Mocod","Bistrita-Nasaud","Bistrita","30"
"Mogoseni","Bistrita-Nasaud","Bistrita","32"
"Moliset","Bistrita-Nasaud","Dej","55"
"Monariu","Bistrita-Nasaud","Bistrita",""
"Monor","Bistrita-Nasaud","Bistrita","35"
"Morut","Bistrita-Nasaud","Bistrita","36"
"Muresenii Bargaului","Bistrita-Nasaud","Bistrita","32"
"Nasaud","Bistrita-Nasaud","Bistrita",""
"Negrilesti","Bistrita-Nasaud","Dej","20"
"Nepos","Bistrita-Nasaud","Bistrita","32"
"Neteni","Bistrita-Nasaud","Bistrita",""
"Nimigea","Bistrita-Nasaud","Bistrita","25"
"Nimigea de Jos","Bistrita-Nasaud","Bistrita","28"
"Nimigea de Sus","Bistrita-Nasaud","Bistrita","31"
"Nuseni","Bistrita-Nasaud","Dej","35"
"Oarzina","Bistrita-Nasaud","Dej","51"
"Ocnita","Bistrita-Nasaud","Bistrita","41"
"Orheiu Bistritei","Bistrita-Nasaud","Bistrita",""
"Orosfaia","Bistrita-Nasaud","Bistrita","51"
"Paltineasa","Bistrita-Nasaud","Dej","38"
"Parva","Bistrita-Nasaud","Bistrita","40"
"Perisor","Bistrita-Nasaud","Bistrita","49"
"Petris","Bistrita-Nasaud","Bistrita",""
"Petru Rares","Bistrita-Nasaud","Dej",""
"Piatra","Bistrita-Nasaud","Bistrita","38"
"PIATRA FANTANELE","Bistrita-Nasaud","Bistrita","47"
"Pinticu","Bistrita-Nasaud","Bistrita","37"
"Podenii","Bistrita-Nasaud","Bistrita","55"
"Poderei","Bistrita-Nasaud","Bistrita","27"
"Podirei","Bistrita-Nasaud","Bistrita","20"
"Poiana Ilvei","Bistrita-Nasaud","Bistrita","42"
"POIENILE ZAGREI","Bistrita-Nasaud","Bistrita","44"
"Porumbenii","Bistrita-Nasaud","Bistrita","82"
"Posmus","Bistrita-Nasaud","Bistrita","34"
"Prundu Bargaului","Bistrita-Nasaud","Bistrita","20"
"Purcarete","Bistrita-Nasaud","Dej","29"
"Racatesu","Bistrita-Nasaud","Dej","47"
"Ragla","Bistrita-Nasaud","Bistrita",""
"Rebra","Bistrita-Nasaud","Bistrita","32"
"Rebrisoara","Bistrita-Nasaud","Bistrita","25"
"Reteag","Bistrita-Nasaud","Dej",""
"Rodna","Bistrita-Nasaud","Bistrita","63"
"Romuli","Bistrita-Nasaud","Bistrita","60"
"Runcu Salvei","Bistrita-Nasaud","Bistrita","37"
"Rustior","Bistrita-Nasaud","Bistrita","37"
"Rusu Bargaului","Bistrita-Nasaud","Bistrita",""
"Rusu de Jos","Bistrita-Nasaud","Dej","25"
"Rusu de Sus","Bistrita-Nasaud","Dej","33"
"Salcuta","Bistrita-Nasaud","Bistrita","40"
"Salva","Bistrita-Nasaud","Bistrita","28"
"Sangeorz-Bai","Bistrita-Nasaud","Bistrita","40"
"SANGEORZU NOU","Bistrita-Nasaud","Bistrita","34"
"Saniacob","Bistrita-Nasaud","Bistrita","25"
"Sanmihaiu de Campie","Bistrita-Nasaud","Bistrita","43"
"Sannicoara","Bistrita-Nasaud","Dej","41"
"Sant","Bistrita-Nasaud","Bistrita","70"
"Santioana","Bistrita-Nasaud","Bistrita","25"
"Sarata","Bistrita-Nasaud","Bistrita",""
"Saratel","Bistrita-Nasaud","Bistrita",""
"Sasarm","Bistrita-Nasaud","Bistrita","30"
"Satu Nou","Bistrita-Nasaud","Bistrita",""
"Scoabe","Bistrita-Nasaud","Bistrita","56"
"Sebis","Bistrita-Nasaud","Bistrita","41"
"Sendroaia","Bistrita-Nasaud","Dej","53"
"Sesuri Spermezeu-Vale","Bistrita-Nasaud","Dej","39"
"Sieu","Bistrita-Nasaud","Bistrita","30"
"Sieu-Magherus","Bistrita-Nasaud","Bistrita",""
"Sieu-Odorhei","Bistrita-Nasaud","Bistrita","29"
"Sieu-Sfantu","Bistrita-Nasaud","Bistrita","24"
"Sieut","Bistrita-Nasaud","Bistrita","34"
"Sigmir","Bistrita-Nasaud","Bistrita",""
"SILIVASU DE CAMPIE","Bistrita-Nasaud","Bistrita","60"
"Simionesti","Bistrita-Nasaud","Bistrita",""
"Sintereag","Bistrita-Nasaud","Bistrita","35"
"Sintereag-Gara","Bistrita-Nasaud","Bistrita","25"
"Sirioara","Bistrita-Nasaud","Bistrita","25"
"Sita","Bistrita-Nasaud","Dej","36"
"Slatinita","Bistrita-Nasaud","Bistrita",""
"Soimus","Bistrita-Nasaud","Bistrita","22"
"Sopteriu","Bistrita-Nasaud","Bistrita","61"
"Spermezeu","Bistrita-Nasaud","Dej","30"
"Stramba","Bistrita-Nasaud","Bistrita","21"
"Strugureni","Bistrita-Nasaud","Dej","45"
"Stupini","Bistrita-Nasaud","Bistrita","48"
"Suplai","Bistrita-Nasaud","Bistrita","51"
"SUSENII BARGAULUI","Bistrita-Nasaud","Bistrita",""
"Tagsoru","Bistrita-Nasaud","Bistrita","70"
"Tagu","Bistrita-Nasaud","Bistrita","55"
"Tarlisua","Bistrita-Nasaud","Dej","45"
"Tarpiu","Bistrita-Nasaud","Bistrita","24"
"Taure","Bistrita-Nasaud","Bistrita","27"
"Teaca","Bistrita-Nasaud","Bistrita","31"
"Telcisor","Bistrita-Nasaud","Bistrita","47"
"Telciu","Bistrita-Nasaud","Bistrita","55"
"Tentea","Bistrita-Nasaud","Dej",""
"Tigau","Bistrita-Nasaud","Bistrita","26"
"Tiha Bargaului","Bistrita-Nasaud","Bistrita","26"
"Tonciu","Bistrita-Nasaud","Bistrita","21"
"Tureac","Bistrita-Nasaud","Bistrita","30"
"Unirea","Bistrita-Nasaud","Bistrita",""
"Uriu","Bistrita-Nasaud","Dej",""
"Urmenis","Bistrita-Nasaud","Bistrita","60"
"Valea","Bistrita-Nasaud","Bistrita","63"
"Valea Borcutului","Bistrita-Nasaud","Bistrita","52"
"Valea Magherusului","Bistrita-Nasaud","Bistrita",""
"Valea Mare (sant)","Bistrita-Nasaud","Bistrita","76"
"Valea Mare (Urmenis)","Bistrita-Nasaud","Bistrita","58"
"Valea Poenii","Bistrita-Nasaud","Bistrita",""
"Valea Vinului","Bistrita-Nasaud","Bistrita","62"
"Vermes","Bistrita-Nasaud","Bistrita","28"
"Viile Tecii","Bistrita-Nasaud","Bistrita","28"
"Viisoara","Bistrita-Nasaud","Bistrita",""
"Visuia","Bistrita-Nasaud","Bistrita","52"
"Vita","Bistrita-Nasaud","Dej","45"
"Zagra","Bistrita-Nasaud","Bistrita","45"
"Zoreni","Bistrita-Nasaud","Bistrita","48"
"Adaseni","Botosani","Botosani","58"
"Agafton","Botosani","Botosani",""
